,plus_signs,minus_signs,orthants
1306,72,75,102
1307,81,103,166
1308,94,94,182
1309,83,72,86
1310,67,64,88
1311,78,96,132
1312,89,82,132
1313,84,87,156
1314,88,77,144
1315,85,96,154
1316,95,96,172
1317,95,90,174
1318,87,79,140
1319,98,94,186
1320,70,70,134
1321,102,93,190
1322,78,82,176
1323,81,74,104
1324,72,67,112
1325,97,92,178
1326,79,87,148
1327,87,83,140
1328,97,63,96
1329,84,85,172
1330,93,95,168
1331,70,101,116
1332,89,95,164
1333,71,87,172
1334,95,91,146
1335,63,49,100
1336,82,80,118
1337,119,55,74
1338,86,73,138
1339,98,98,190
1340,78,73,136
1341,96,89,200
1342,72,73,126
1343,82,79,104
1344,78,60,98
1345,76,61,128
1346,97,90,170
1347,65,84,112
1348,99,96,182
1349,60,64,106
1350,60,67,126
1351,93,95,170
1352,96,91,200
1353,83,104,168
1354,76,78,130
1355,90,99,192
1356,91,109,172
1357,102,82,150
1358,95,104,174
1359,81,106,172
1360,77,82,124
1361,95,95,176
1362,87,85,162
1363,113,89,160
1364,92,97,176
1365,93,97,204
1366,85,87,174
1367,100,85,158
1368,88,79,146
1369,99,83,162
1370,93,102,152
1371,75,84,122
1372,95,98,168
1373,87,97,176
1374,94,90,152
1375,90,104,164
1376,78,73,140
1377,98,77,144
1378,82,96,164
1379,95,95,176
1380,84,80,152
1381,82,77,144
1382,86,83,112
1383,93,79,122
1384,87,98,182
1385,93,95,172
1386,97,94,198
1387,103,92,202
1388,88,85,150
1389,92,74,128
1390,76,97,160
1391,94,95,148
1392,80,83,152
1393,90,87,184
1394,87,99,182
1395,61,63,100
1396,94,82,152
1397,103,80,156
1398,92,94,144
1399,104,82,164
1400,92,73,102
1401,103,95,200
1402,48,55,2
1403,75,74,124
1404,92,101,224
1405,62,74,114
1406,104,86,154
1407,94,101,178
1408,91,73,126
1409,81,93,142
1410,104,100,154
1411,85,90,166
1412,78,95,136
1413,79,80,126
1414,70,114,144
1415,92,94,168
1416,75,66,120
1417,85,89,152
1418,101,88,184
1419,68,78,104
1420,90,91,156
1421,88,81,166
1422,97,103,178
1423,68,80,108
1424,76,88,140
1425,86,89,156
1426,88,88,170
1427,97,100,176
1428,98,84,168
1429,92,85,152
1430,80,107,148
1431,101,95,176
1432,96,97,156
1433,74,97,138
1434,95,95,182
1435,94,79,140
1436,81,87,132
1437,90,90,166
1438,105,88,182
1439,101,102,232
1440,91,95,194
1441,76,87,144
1442,91,99,182
1443,97,97,184
1444,99,77,130
1445,92,77,154
1446,93,78,134
1447,83,82,144
1448,93,104,200
1449,91,102,168
1450,107,88,180
1451,106,98,180
1452,96,94,178
1453,90,81,136
1454,103,94,158
1455,78,107,146
1456,81,76,142
1457,105,86,164
1458,85,78,118
1459,93,101,176
1460,104,97,194
1461,90,78,192
1462,96,81,118
1463,84,103,164
1464,95,83,184
1465,48,43,92
1466,80,108,162
1467,99,86,176
1468,97,93,186
1469,75,68,146
1470,71,76,136
1471,88,97,184
1472,94,105,200
1473,83,99,150
1474,57,70,98
1475,93,97,180
1476,85,88,140
1477,88,88,146
1478,86,97,154
1479,85,73,110
1480,94,92,182
1481,96,92,164
1482,95,103,170
1483,101,88,154
1484,97,78,158
1485,107,97,170
1486,87,97,156
1487,82,86,132
1488,89,87,180
1489,92,84,126
1490,91,99,148
1491,94,84,168
1492,76,82,92
1493,88,76,134
1494,92,76,142
1495,102,99,206
1496,91,88,154
1497,82,77,144
1498,68,77,102
1499,93,92,150
1500,79,114,130
1501,84,72,108
1502,80,100,144
1503,93,94,182
1504,74,82,110
1505,78,82,86
1506,103,86,180
1507,79,90,150
1508,91,97,182
1509,83,87,126
1510,92,100,182
1511,64,112,98
1512,81,82,136
1513,92,90,172
1514,94,97,158
1515,92,44,76
1516,88,91,176
1517,95,88,212
1518,76,81,146
1519,107,98,170
1520,98,91,166
1521,111,87,154
1522,84,87,140
1523,51,60,98
1524,93,92,206
1525,84,71,146
1526,78,85,108
1527,86,101,138
1528,94,85,144
1529,85,76,122
1530,87,102,180
1531,96,97,186
1532,100,91,140
1533,75,87,122
1534,59,59,128
1535,74,81,140
1536,111,86,172
1537,82,101,160
1538,82,78,156
1539,57,67,100
1540,76,75,128
1541,86,82,118
1542,69,73,124
1543,95,97,188
1544,84,89,166
1545,85,97,170
1546,77,114,110
1547,91,103,184
1548,86,94,178
1549,89,98,176
1550,57,86,108
1551,101,99,210
1552,92,86,154
1553,80,77,136
1554,107,64,96
1555,83,76,168
1556,96,102,212
1557,28,34,2
1558,92,95,164
1559,84,90,162
1560,103,93,160
1561,68,87,116
1562,91,88,146
1563,94,89,160
1564,86,83,186
1565,70,71,84
1566,91,102,180
1567,86,91,164
1568,81,75,120
1569,95,93,154
1570,99,96,182
1571,93,103,164
1572,85,81,134
1573,89,90,166
1574,58,53,66
1575,94,91,172
1576,77,83,136
1577,89,98,176
1578,98,96,170
1579,75,102,166
1580,100,100,220
1581,86,90,142
1582,82,86,114
1583,90,97,178
1584,92,97,168
1585,102,94,188
1586,71,73,130
1587,97,101,170
1588,90,101,178
1589,108,95,186
1590,68,74,108
1591,86,80,140
1592,100,98,202
1593,82,100,156
1594,96,84,152
1595,89,87,140
1596,104,87,150
1597,79,90,140
1598,90,94,144
1599,81,86,140
1600,98,85,150
1601,90,79,126
1602,57,63,84
1603,91,84,118
1604,89,111,168
1605,79,66,98
1606,92,83,158
1607,77,84,108
1608,81,86,106
1609,64,69,130
1610,83,85,150
1611,44,63,60
1612,81,103,150
1613,87,88,104
1614,105,90,180
1615,87,105,176
1616,95,93,172
1617,89,94,182
1618,102,101,190
1619,112,84,130
1620,92,90,188
1621,77,68,122
1622,81,83,116
1623,76,90,140
1624,105,94,172
1625,97,68,108
1626,91,92,156
1627,76,82,116
1628,93,108,182
1629,100,74,142
1630,97,90,170
1631,83,90,160
1632,76,91,104
1633,96,92,158
1634,90,111,206
1635,78,86,116
1636,76,90,140
1637,95,79,158
1638,74,92,124
1639,103,84,156
1640,65,54,82
1641,87,81,124
1642,90,91,112
1643,65,81,84
1644,100,84,154
1645,106,91,172
1646,96,95,194
1647,89,92,150
1648,93,98,178
1649,99,64,100
1650,97,96,200
1651,73,90,108
1652,73,92,168
1653,95,89,176
1654,83,84,128
